date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:29:22	118/118	---MCZ	200	added ('OK')	text/plain	etag:W/%22210-1776696462;br%22	https://jasminegunarto.com/robots.txt		(from )
16:29:22	51451/51451	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Apr%202026%2014:29:21%20GMT	https://jasminegunarto.com/	./site/jasminegunarto.com/index.html	(from )
16:29:24	253532/253532	---MCZ	200	added ('OK')	text/css	etag:W/%223de5c-69e161dd-c26434c83ca6f881;br%22	https://jasminegunarto.com/wp-content/litespeed/css/2fdddb57d8b6b16c50c469e7ff08412b.css?ver=f7b2d	./site/jasminegunarto.com/wp-content/litespeed/css/2fdddb57d8b6b16c50c469e7ff08412bde03.css	(from https://jasminegunarto.com/)
16:29:24	87553/87553	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2215601-694812d4-2189f7b55c51867d;br%22	https://jasminegunarto.com/wp-includes/js/jquery/jquery.min.js	./site/jasminegunarto.com/wp-includes/js/jquery/jquery.min.js	(from https://jasminegunarto.com/)
16:29:24	270894/270894	---MCZ	200	added ('OK')	application/json	etag:W/%22562-1777111208;br%22	https://jasminegunarto.com/wp-json/	./site/jasminegunarto.com/wp-json/index.html	(from https://jasminegunarto.com/)
16:29:25	16409/16409	---MCZ	200	added ('OK')	application/json	date:Mon,%2027%20Apr%202026%2014:29:24%20GMT	https://jasminegunarto.com/wp-json/wp/v2/pages/2	./site/jasminegunarto.com/wp-json/wp/v2/pages/2.json	(from https://jasminegunarto.com/)
16:29:25	822/822	---MCZ	200	added ('OK')	text/xml	date:Mon,%2027%20Apr%202026%2014:29:25%20GMT	https://jasminegunarto.com/xmlrpc.php?rsd	./site/jasminegunarto.com/xmlrpc0db0.php	(from https://jasminegunarto.com/)
16:29:26	2111/2111	---MCZ	200	added ('OK')	application/json	etag:W/%22563-1777111215;br%22	https://jasminegunarto.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fjasminegunarto.com%2F	./site/jasminegunarto.com/wp-json/oembed/1.0/embed50b4.json	(from https://jasminegunarto.com/)
16:29:28	2270/2270	---MCZ	200	added ('OK')	text/xml	etag:W/%22564-1777111215;br%22	https://jasminegunarto.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fjasminegunarto.com%2F&format=xml	./site/jasminegunarto.com/wp-json/oembed/1.0/embedaeef	(from https://jasminegunarto.com/)
16:29:29	17300/17300	---M--	200	added ('OK')	font/woff2	etag:%224394-69b3b6ca-8ea44019648b5045;;;%22	https://jasminegunarto.com/wp-content/themes/theme-jasmine/dist/MG-B-BiU9T5KX.woff2	./site/jasminegunarto.com/wp-content/themes/theme-jasmine/dist/MG-B-BiU9T5KX.woff2	(from https://jasminegunarto.com/)
16:29:30	16416/16416	---M--	200	added ('OK')	font/woff2	etag:%224020-69b3b6cc-d3af6ee9f793370;;;%22	https://jasminegunarto.com/wp-content/themes/theme-jasmine/dist/MG-BL-BdR8LHFG.woff2	./site/jasminegunarto.com/wp-content/themes/theme-jasmine/dist/MG-BL-BdR8LHFG.woff2	(from https://jasminegunarto.com/)
16:29:31	17304/17304	---M--	200	added ('OK')	font/woff2	etag:%224398-69b3b6d1-4da3b9e7e8daf8a5;;;%22	https://jasminegunarto.com/wp-content/themes/theme-jasmine/dist/MG-EB-DCIsQNoG.woff2	./site/jasminegunarto.com/wp-content/themes/theme-jasmine/dist/MG-EB-DCIsQNoG.woff2	(from https://jasminegunarto.com/)
16:29:31	10047/10047	---M--	200	added ('OK')	image/png	etag:%22273f-6977bdbc-800b8b90640f1d24;;;%22	https://jasminegunarto.com/wp-content/uploads/2026/01/favicon-1.5-150x150.png	./site/jasminegunarto.com/wp-content/uploads/2026/01/favicon-1.5-150x150.png	(from https://jasminegunarto.com/)
16:29:32	34706/34706	---M--	200	added ('OK')	image/png	etag:%228792-6977bdbc-2da0be3e5a63d237;;;%22	https://jasminegunarto.com/wp-content/uploads/2026/01/favicon-1.5-300x300.png	./site/jasminegunarto.com/wp-content/uploads/2026/01/favicon-1.5-300x300.png	(from https://jasminegunarto.com/)
16:29:34	102168/102168	---M--	200	added ('OK')	image/webp	etag:%2218f18-69adae89-ee6983398ff2d65e;;;%22	https://jasminegunarto.com/wp-content/uploads/2026/01/avantgarde_still-scaled-2.webp	./site/jasminegunarto.com/wp-content/uploads/2026/01/avantgarde_still-scaled-2.webp	(from https://jasminegunarto.com/)
16:29:34	50663/50663	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Apr%202026%2014:29:34%20GMT	https://jasminegunarto.com/break/	./site/jasminegunarto.com/break/index.html	(from https://jasminegunarto.com/)
16:29:35	71532/71532	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Apr%202026%2014:29:34%20GMT	https://jasminegunarto.com/works/	./site/jasminegunarto.com/works/index.html	(from https://jasminegunarto.com/)
16:29:35	52042/52042	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Apr%202026%2014:29:34%20GMT	https://jasminegunarto.com/about/	./site/jasminegunarto.com/about/index.html	(from https://jasminegunarto.com/)
16:29:38	110168/110168	---M--	200	added ('OK')	image/webp	etag:%221ae58-69adb052-7ce63b62ffb9453;;;%22	https://jasminegunarto.com/wp-content/uploads/2026/01/hotpot_styleframe18-1.webp	./site/jasminegunarto.com/wp-content/uploads/2026/01/hotpot_styleframe18-1.webp	(from https://jasminegunarto.com/)
16:29:38	72674/72674	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Apr%202026%2014:29:38%20GMT	https://jasminegunarto.com/home-in-a-hot-pot/	./site/jasminegunarto.com/home-in-a-hot-pot/index.html	(from https://jasminegunarto.com/)
16:29:38	2228386/2228386	---M--	200	added ('OK')	video/mp4	etag:%222200a2-694812d5-b649e22c62de2ccf;;;%22	https://jasminegunarto.com/wp-content/uploads/2025/09/f-hotpot.mp4	./site/jasminegunarto.com/wp-content/uploads/2025/09/f-hotpot.mp4	(from https://jasminegunarto.com/)
16:29:39	92272/92272	---M--	200	added ('OK')	image/webp	etag:%2216870-69adb173-9b058b9135a2a05d;;;%22	https://jasminegunarto.com/wp-content/uploads/2026/01/flow_stickers-scaled-2.webp	./site/jasminegunarto.com/wp-content/uploads/2026/01/flow_stickers-scaled-2.webp	(from https://jasminegunarto.com/)
16:29:41	65055/65055	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Apr%202026%2014:29:40%20GMT	https://jasminegunarto.com/flow-studio-branding/	./site/jasminegunarto.com/flow-studio-branding/index.html	(from https://jasminegunarto.com/)
16:29:42	56909/56909	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Apr%202026%2014:29:41%20GMT	https://jasminegunarto.com/pre-college-2025/	./site/jasminegunarto.com/pre-college-2025/index.html	(from https://jasminegunarto.com/)
16:29:43	354875/354875	---M--	200	added ('OK')	video/mp4	etag:%2256a3b-694812d6-ac6e070fa0d5d619;;;%22	https://jasminegunarto.com/wp-content/uploads/2025/12/f-precollege.mp4	./site/jasminegunarto.com/wp-content/uploads/2025/12/f-precollege.mp4	(from https://jasminegunarto.com/)
16:29:43	65708/65708	---M--	200	added ('OK')	image/webp	etag:%22100ac-69a724c7-8ad2da6ed2982715;;;%22	https://jasminegunarto.com/wp-content/uploads/2026/01/precollege_still-scaled-1.webp	./site/jasminegunarto.com/wp-content/uploads/2026/01/precollege_still-scaled-1.webp	(from https://jasminegunarto.com/)
16:29:44	154478/154478	---M--	200	added ('OK')	image/webp	etag:%2225b6e-69adb2c9-354e299b3973b5a4;;;%22	https://jasminegunarto.com/wp-content/uploads/2026/01/jgunarto_p03_Frame08-1.webp	./site/jasminegunarto.com/wp-content/uploads/2026/01/jgunarto_p03_Frame08-1.webp	(from https://jasminegunarto.com/)
16:29:44	4722/4722	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2027%20Apr%202026%2014:29:43%20GMT	https://jasminegunarto.com/cdn-cgi/l/email-protection	./site/jasminegunarto.com/cdn-cgi/l/email-protection	(from https://jasminegunarto.com/)
16:29:45	71371/71371	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Apr%202026%2014:29:44%20GMT	https://jasminegunarto.com/the-taste-gap-visual-essay/	./site/jasminegunarto.com/the-taste-gap-visual-essay/index.html	(from https://jasminegunarto.com/)
16:29:45	39273/39273	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Apr%202026%2014:29:45%20GMT	https://jasminegunarto.com/pea/	./site/jasminegunarto.com/pea/index.html	(from https://jasminegunarto.com/)
